id,comment,food,drink,price,staff,service,space,hygiene
0,mỗi lần nghĩ tới trò_chơi trên bàn thì sẽ nghĩ tới vô_đây được cái là khoái món cơm_chiên với cá_viên trong đây lắm vô mà không kêu chơi hông vui cho anh đầu_bếp ngàn like ạ,1,0,0,1,1,0,0
1,trà sữa koi phải nói là quá ngon xuất_sắc lun rồi hôm_nay mình đặt_hàng qua giao hàng vì đang có chương_trình khuyến_mãi thanh_toán bằng thẻ airpay sẽ miễn phí phí vận_chuyển_vậy là nhanh tay đặt_hàng ly nước uống machiato m giá_cả trà sữa trân_châu hoàng_kim m giá_cả peach machiato m giá_cả tc ly là giá_cả nhé giao hàng nhanh nè là có ly giao tại nhà lun chắc do nhà mình gần quá phải nói là ly nào cũng ngon hết thích nhất lớp kem của ly machiato với trân_châu của ly trà sữa ghê giá_cả tương_đối_xứng_đáng với chất_lượng,0,1,1,0,1,0,0
2,bạn muốn giết thời_gian bạn chán những lúc hẹn_hò với bạn_bè mà đứa nào cũng lo ôm điện_thoại của riêng mình đến đây thì sẽ không bao_giờ có tình_trạng đó xảy ra mấy anh nhân_viên ở đây rất vui_vẻ và tận_tình giá_cả thì chấp_nhận được,0,0,1,1,0,0,0
3,quán nhiều game vô_cùng nhân_viên nhiệt_tình nữa chơi game nào là giải_thích rõ_ràng game đó chán không biết vô đâu có chui vô_đây là sướng nhất nước có đồ ăn có lại có board game chơi tuyệt_vời,1,1,0,1,1,0,0
4,thời_gian làm mọi thứ băng qua cuộc_đời ngắn_ngủi của chúng_ta chỉ có những khoảng khắc giữ chúng_ta lại tại một vùng_trời gọi là quá_khứ tại đây tôi được sống trong cảm_giác ừ đã từng như thế xin cảm_ơn vì nơi đây yêu các bạn,0,0,0,0,0,0,0
5,quán có cafe mặn đặc_biệt uống cũng ổn lạ lạ quán nhỏ trang_trí thoáng dễ_thương nhưng nhược_điểm chắc cũng ở tầm trung thôi đầu_tư nhưng không đủ dkien kiểu vậy tại mình thấy cứ lỡ_cỡ thiếu thiếu cgi ấy quán không có điều_hoà nóng,0,1,0,0,1,1,0
6,sau hơn một năm nhượng lại cho tea n cofe cuối_cùng chago cũng trở_lại hehe hương_vị vẫn như xưa và có thêm vài món mới nữa hôm_nay đi chỉ muốn uống trà_thiết quan âm đậm_đà của chago năm xưa nghe nói trà tổ ong cũng ngon lắm chắc ngày_mai ra quất thêm ly cho đỡ thèm nhân_viên quán cực_kỳ dễ_thương luôn mình mua đem về mà tận_tình dễ sợ còn chủ_động dắt xe hộ nữa mặc_dù có bảo_vệ,0,1,0,1,0,0,0
7,lần đầu mình uống o cha cảm_giác rất vừa_miệng mình đặt trúng đợt giảm_giá nên công_ty đặt_hàng đến ly cả team đặt nhiều loại khác nhau trà sữa o cha trà sữa nước uống trà sữa olong đặc_biệt trà sữa o cha milk foam chese được khen nhiều nhất vì lạ_miệng với chese có vị mặn mặn ngọt ngọt béo béo uống ngon lắm team mình sẽ ủng_hộ dài_dài,0,1,0,0,0,0,0
8,nhà mình được được tặng hộp bánh trung_thu này cái hộp hoành tráng_lệ lắm luôn bên ngoài là giỏ xách giấy tiếp_theo là hộp giấy mở hộp giấy ra là hộp xốp trắng giữ nhiệt sau đó là hộp thiếc chắc_chắn có in chữ_nổi rồi cuối_cùng là em bánh nhỏ xinh với vị trái_cây trong hộp thiếc thì có đá gel giúp giữ lạnh mình chưa ăn thử nhưng nhìn cách đóng_gói cầu_kì và tỉ_mỉ thì đã thấy ngon rồi mình nghĩ trung_thu biếu hay tặng bánh này là khỏi chê,1,0,0,0,0,0,0
9,quán mới mở đc cái view mặt_phố lúc_nào cũng còi xe inh_ỏi muốn yên_tĩnh thi nên vào phòng máy_lạnh ngồi giá nước tầm giá_cả trở xuống mình dùng ép thơm vị ổn không chua không ngọt giá giá_cả wifi ổn pv_bt,0,1,1,1,1,1,0
10,tên quán lạ tên món cũng lạ ban_đầu cả đám bạn_đọc menu trà sữa chỉ biết cười thôi trà sữa ổn e khác nhau ở toping và thạch có combo bánh_gấu brown giá_cả nữa nói_chung mọi thứ rất phù_hợp cho việc tụ_tập bạn_bè để xe trước cửa quán hơi ít đông thì phải qua đối_diện gửi xe nhưng bù lại được giảm bil nên cũng ổn e,1,1,1,0,1,0,0
11,done,0,0,0,0,0,0,0
12,không nhớ tên món này nhưng với mình khá ngon không_gian quán hơi nhỏ đi cuối tuần rất ồn giá_cả hợp_lý lần trước đi mình có uống trà vải machiato khá ngon nhưng nhân_viên lấy xe khá lâu hơn phút,0,1,0,1,0,1,0
