id,comment,food,drink,price,staff,service,space,hygiene
801,"Hancook là quán ăn của Hàn rất có tiếng ở Đà Nẵng nè, hầu hết bạn trẻ đều biêt quán này (y) Quán có 3 cơ sở ở đà nẵng: Hài phòng, núi thành và vincom. Hải Phòng là lâu nhất rồi, mình tới quán ở hải phòng, quán có 3 tầng, có nhân viên giữ xe. Bước chân vào quán là có nhân viên tiếp sẵn rồi, có người hướng đãn nhiệt tình lắm. Không gian quán khá đẹp, menu rất nhiều đồ ăn, hầu hết là hàn quốc, mình kêu dagabi.trời ơi phải nói quá ngon quá ngon luôn. Cay mà siêu ngon luôn ấy, không chê vào dâu được, phomai dẻo eo, gà cay hàn quốc, bún hàn quốc, toboki... nhiều vô kể ăn 2 ngườ mà no căng cái bụng luôn ấy ===)) sẽ ghe quán dài dài<3",1,0,0,1,1,1,0
802,"Hancook đã có 3 hệ thống ở ĐN rồi đấy
Hình như bữa nay không tính phí VAT nữa hay sao ấy 👍👍👍
Đến đây hay ăn chảo tok này, 1 chảo khoảng 2, 3 người ăn là ok, rồi goi thêm vài món như gà tok. phô mai, mỳ 👌👌👌
Lớp phô mai dày cộm luôn, dạo này chỗ nào có phô mai là coi y là món đó trở nên hot 😁😁😁
Hancook không gian hơi nhỏ, ngồi trên lầu tối, không thích cho lắm, ngồi bên dưới thì sáng hơn nhiều, bàn ghế kiểu quán cafe
chất lượng đồ ăn thì rất ổn rồi 
Nhân viên hơi lơ ngơ sao ấy 😅😅😅, mặt hơi cau tí 😅😅😂😂😂Xem thêm
",1,0,0,1,0,1,0
803,"Quán không gian hiện đại pha vẽ tự nhiên, quán nhỏ ấm cúng, có cà phê sạch thấy đảm bảo sức khoẻ, có cả bánh handmade nữa! Nói chung ok! Sẽ ghé nữa",1,1,0,0,0,1,1
804,"Dak galbi ngon, đầy đặn, no ngập mặt. Giá combo phải chăng. Đi từ 9-16h đc giảm giá và tặng coca nữa",1,1,1,0,0,0,0
805,"Đây là quán ăn hàn quốc đầu tiên mình đến, phải nói thật sự đồ ăn ở đây ngon, nhân viên phục vụ cũng nhiệt tình, mỗi bàn đều có chuông nhấn gọi phục vụ, rất hay :) quán cũng khá gần nhà và dễ tìm nên sẽ sớm quay lại, hẹn 1 ngày ko xa :D",1,0,0,1,0,0,0
806,"Combo Dakgabi buổi trưa, đi làm về trưa lắc rủ đi ăn với đứa em, buổi trưa xế xế mà vẫn khá đông khách. Mình gọi combo với thêm kimbap cá ngừ. Combo ăn hai người là muốn xỉu luôn, góp ý mình thấy chất lượng dakgabi không còn ngon như ngày đầu, không biết là vì quán thay đổi hay vì mình ăn quán nhiều quá mà không còn thấy ngon (Vụ này không được khách quan nên hỏi quán thôi ạ). Phần gà chiên hơi bị cứng nhé, cái này là góp ý hôm mình ăn nó bị cứng nhé. 
Vẫn rất thích các loại kim chi ăn kèm của quán.
Phục vụ lịch sự và rất nhiệt tình.",1,0,0,1,0,0,0
807,"Cơ sở này là cơ sở đầu tiên của han cook tại đà nẵng, theo mình là cơ sở bán món ăn ổn dịnh nhất :))))))
mình được bạn rủ đi ăn bingsu, do đến trễ nên nó gọi mất rồi, ai ngờ nó gọi bingsu xoài, mới ám ảnh cái độ chua của xoài khi mới ăn bên núi thành, lúc cầm muỗng ăn mà lòng nơm nớp lo lắng nhưng mà xoài hôm đó nó ngọt lim khác lạ, ngon ghê gớm :)))))))) ăn hoà quyện với lớp sữa, kết hợp với đá bào nhuyễn ngon ơi là ngon :))))) rõ là số mình hôm bữa đi núi thành quá xui:))))
ngoài ra chỗ này không gian cũng rộng rãi nhất, decor khá đẹp, nhân viên cũng thân thiện nhất luôn :3",1,0,0,1,0,1,0
808,"Đã đc ăn 4 lần và bây giờ dồn luôn 1 lần để viết review cho khỏe. Nhớ lại lần đầu tiên đi ăn về, thật sự mình đã ko thấy ngon. Mình đi 2 người ăn combo 250k + nước cũng rất no đó. 
Lần thứ 2 đc bạn mời ăn sn ở đây. Ko hiểu vì sao sau lần t2 mình ghiền ở đây luôn. Vì đi khá nhiều ng nên ngoài dakgalbi mình còn thử thêm món gà, ôi thiệt tuyệt đỉnh luôn. Gà rất thấm và ngon. Tự nhiên hôm đó món nào cũng ngon lạ thường. Cái lúc tính tiền tụi mình có chúc sn bạn, anh quản lý biết đc nên tặng cho bàn mình free bingsu. Ôi mình khá bất ngờ và rất có cảm tình vs hancook. Tiếp đãi kh thiệt tốt ý ❤❤
Ăn hancook đi đông là lợi nhất, vì ăn đc nhiều món. Mình toàn đi 2 ng nên chỉ toàn gọi dakgabi là đủ no. Hôm đó hội bạn mình đông hơn nên gọi thêm 2 phần kimbap nữa. Kimbap trình bày đẹp, cũng khá ngon nhưng cuốn chưa chặt nha. Mình gắp và bị rớt ý
Tóm lại mình hoàn toàn hài lòng vs hancook và thành fan ruột ở đây luônXem thêm
",1,1,1,1,0,0,0
809,"Mình đi hancook khá nhiều lần rồi. M thường đi bên hải phòng. Quán thì khỏi nói rồi. Khá nổi tiếng.rộng rãi sạch sẽ. Nhân viên thì lịch sự và chu đáo. Giải thích được menu cho mình. Khi gọi menu thì sẽ được lợi hơn vid rẻ hơn. Mình đến lần nào cũng ăn dakgalbi hết. Mình thấy ở đây ngon và làm dễ ăn. Nhiều chỗ mình ăn thường bị đắng. Giá cả đi 3 4 người các bạn ăn combo 2 người vẫn được. Tầm 250k. Đi buổi trưa thì combo rẻ hơn buổi tối. Rất hài lòng về quán.",1,0,1,1,0,0,1
810,"Han cook là quán yêu thích của mình rồi nên tết là tranh thủ đi ăn liền. Gọi 3 món nhưng 2 đứa tụi mình phải nói là ăn mệt nghỉ lun. Mình gọi 1 phần kimpap bò, 1 cơm trộn thịt heo ướp gia vị và 1 tok. Hơi buồn vì tết nên k bán gà rút xương sốt tương vì đó là món yêu thích của mình :'(( Cơm trộn phải nói quá tuyệt vời, thịt mềm và thấm, trộn vs cơm ăn vừa phải k quá mặn. Một tô vầy như nhiều thịt lắm. Canh rong biển đi kèm ăn vừa miệng nhưng hơi nguội. Kimpap bò được cuốn rất chặt, k bị rớt, thịt bò mềm và thấm, có củ cải vàng bên trong nên k bị ngán. Tok hơi cay so với mình, ăm khá ngon và vừa miệng. Nhân viên nhiệt tình hết chỗ chê. Các bạn ấy phục vụ rất chu đáo và nhiệt tình. Không gian đẹp và sang chảnh.",1,0,0,1,0,1,0
