id,comment,food,drink,price,staff,service,space,hygiene
422,"Quán phục vụ khá tốt, vui vẻ và lịch sự. Mình gọi món không có trong menu nhưng đầu bếp vẫn làm theo ý mình (cho 1 điểm cộng).
Mình đến quán lúc đang có chương trình uống thoải mái bia Đức tính 70k/người.
Đi 6 người, uống bia Đức, kêu 5 món ăn, tổng bill hết 700k cho một buổi chiến đấu oanh liệt!",1,1,1,1,0,0,0
423,"_Ghét cái kiểu phục vụ coi thường khách.
_Cacao sữa đá fa ok.sinh tố 25k/ly",0,1,1,1,0,0,0
424,"_ Vị trí :Toạ lạc trên con đường lớn Đoàn Thị Điểm.
_Không gian : Rộng,thoáng mát do có nh cây kiểng.
_ Nước phong phú.Cà phê siêu dở,nc pha tệ.
_Phục vụ: Chậm chạp và chảnh chẹ cực kì.
Hôm mình về quê và cùng mấy bạn làm công an lên đó cafe 8 chơi.A bạn mình vốn vui tính mới đùa với cô bé phục vụ là uống trà đá ko uống cf đc ko?z mà con bé 17-18t j đó liếc lườm oy trề môi khinh bỉ nữa.Thiệt tình,cafe thì dở,phục vụ kiểu đó thì thua oy.
_Lần thứ 2 ghé lúc trời mưa,nói chung mưa nhỏ ak,mà ngồi chỗ nào cg bị ướt,bị tạt,đổi bàn liên tục mà cg bị ak.Nv thì trơ mắt ra nhìn khách ướt như chuột lột ak.
_Trên đó còn mở 2 sân bóng chuyền.Sân thì nghiêng,xấu,dơ.1 bên sân cát bt,1 sâm sơn nước.Mùa nắng k sao,mùa mưa coi như sân đó bỏ vì quá trơn.Làm sân kinh doanh mà ko bik tính toán j hết.Giá :10k/séc
_Nước thì từ 25k -40k.
Mì gói :20k/tô dở muốn ói.Mì gói mà nấu ko ra hồn là hiểu oy.
_có Wifi miễn phí.
_Giữ xe FreeXem thêm",1,1,1,1,1,1,0
425,"Quán nhỏ xinh và tầm chiều tối mình đi thì khá vắng, đồ uống đồ ăn khá là hợp ví tiền của sinh viên, đặc biệt ở đây có nem chua rán (theo mình là) vô cùng ngon, ngon nhất trong những chỗ mình từng ăn luôn",1,1,1,0,0,1,0
426,"Không gian : thoáng but bày trí bàn ghế sát nên tạo cảm giác hẹp.
Vị trí : ngay ngã 4 nên dễ tìm.
Nước pha bình thường.Kem dở,mắc,trang trí tầm thường,ko bắt mắt.Nhưng đây là 1 trong những quán cf có tiếng ở blong.
Phục vụ : chậm",0,1,1,0,0,1,0
427,"Vị trí : Nằm ngay đường Ng Du.Sau lưng Nhà Văn Hoá Thiếu Nhi tx Bình Long.
Không gian : Có phòng máy lạnh và khu ngoài khá thoáng mát,yên tĩnh.
Phục vụ : Tạm
Giữ xe miễn phí và chú giữ xe rất tốt và nhiệt tình.Đẩy xe mình vô chỗ mát sợ nắng xe...
Nước thì bình thường.Hnay uống nước cam tươi thì 22k,sinh tố mãng cầu 22k,cacao sữa đá hok ngon 18k,uống thấy đắng thui.
But ko hju sao vô quán ko thấy menu bao h.May là mình quen cacao sữa đá nên ik đâu cg kiu,gặp nh ng món lựa chọn k bik ntn đây???
Wifi : Free
WC : Fong cách lạ,nhìn kĩ mới bik là wc.But cg sạch",0,1,1,1,1,1,1
428,"Không gian nhỏ nhưng khá mát. Vị trí thuận lợi. Sinh tố bơ ngon tuyệt. I like :))))
Nhân viên nhanh nhẹn",0,1,0,1,0,1,0
429,"Không khí trong lành kinh khủng. Gió hồ mát lồng lộng. Khung cảnh thoáng đãng rộng rãi. Nc thích lm lun 

Nước uống bình thường. Nhân viên nhanh nhẹn",0,1,0,1,0,1,0
430,"🌹 Đi ngang qua đây thấy quán này to rộng với cả cái banner quảng cáo kem bên ngoài là sà vào liền, đúng gu của mình. Quán rộng, có nhiều không gian khác nhau, bên ngoài và phòng điều hòa.
🌹 Mình gọi kem như sở thích mà nhìn bingsu đi qua cũng kích thích ghê lắm. Nếu không bị viêm họng thì mình đã xơi một em bingsu rồi.
🌹 Kem khá nhiều vị nhưng hết sầu riêng. Kem mềm mịn, khá dậy mùi. Mỗi ly được hai viên cũng khá lớn. 
🌹Nhân viên trẻ dễ thương, giá cả cũng yêu. Sẽ còn ủng hộ quán.",1,0,1,1,1,1,0
431,Quán khá rộng rãi và đẹp. Mình đi cùng 3 người nữa gọi 4 loại bingsu để được thử tất cả các vị. Nói chung bingsu ngon chỉ có bingsu xoài là hơi chua và k đa dạng topping như các loại kia. Rất thích quán và nếu có cơ hội sẽ quay lại 👍👍👍.,1,0,0,0,0,1,0
432,"Tụi bạn rủ vô Củi uống, chắc là do đi buổi trưa nên quán vắng, chỉ có mỗi tụi mình. Tụi mình gọi nước ép bưởi, chanh dây với yaourt đá, mọi thứ đều khá ngon. Riêng chanh dây khi nhân viên đem ra mình hơi bất ngờ,đây là lần đầu tiên mình uống chanh dây không hạt hehe. Không gian quán yên tĩnh, nội thất đúng y như tên quán CỦI. Nhân viên nhiệt tình, dễ thương.",0,1,0,1,0,1,0
433,"Neverland là quán fast food nhưng mình lại chưa thử ăn đồ ăn nhanh và cơm gà ở đây bao giờ mới chỉ dùng đồ uống và khoai tây chiên thôi. 
- Vị trí: Quán này nằm trên phố Hàng Than phố này có nhiều hàng ăn khá ngon và được cái là phó trung tâm nên cũng khá đông khách nhất là các bạn trẻ. 
- Không gian: Nhìn từ ngoài vào thì thấy hơi bí bí nhưng quán có không gian bên trong khá rộng rãi decor theo kiểu ấm cúng, trẻ trung. Mình lên tầng 3 bỏ dép ra ngoài phía bên trong là bàn thấp, khách ngồi bệt. Đồ uống mình thấy chất lượng bình thường (mình uống matcha trà xanh) vì cảm tưởng vẫn bột bột chứ không phải kiểu hương matcha tự nhiên. Khoai tây chiên ăn khá giòn và ngon.
- Phục vụ: Nhân viên ở đây phục vụ rất lịch sự, bọn mình không phải chờ đồ lâu chỉ tầm 5-10 phút là có đồ ra liền.
Lần sau có dịp quay lại Neverland mình sẽ thử ăn gà chiên và cơm gà xem chất lượng ra sao, nghe nói quán còn phục vụ cả bún phở nữa chứ :dXem thêm",1,1,1,1,0,1,0
434,"Thời gian đầu quán mới mở khá đông khách, tuy bây giờ ít đi nhưng vẫn có 1 lượng khách ổn định. Đồ uống ở quán khá ổn nhưng chưa xuất sắc cho lắm vì trà vẫn chưa được thơm và đậm đà lắm, hơi nhiều đá nữa :( Duy nhất có trà hoa nhài là mình có thấy dậy mùi thơm của nhài. Giá cả cũng trung bình so với các quán khác, nhân viên lịch sự lễ phép. Không gian quán cũng đậm chất phong cách nhật bản, tạo cho quán một dấu ấn khác biệt so với những thương hiệu trà sữa quá nhiều ở TH hiện nay.",0,1,1,1,0,1,0
435,"Được bạn đưa đến đây uống thử vì đây là quán ruột của nó. Quán có 2 tầng, khu order đồ, pha chế nhà vệ sinh ở tầng 1 và cũng có chỗ khách ngồi lại nữa. Trang trí tối giản không quá đặc sắc.
Menu khá đa dạng, giá cả hợp lí. 
Bạn mình khen kem mặn ở đây ngon nên định gọi thử thì 2 bạn nhân viên nam nói hết kem mặn rồi. Vì đi vào buổi tối muộn rồi nên cũng thông cảm và gọi 2 cốc trà xanh kiwi thêm trân châu đen. Sau đó cũng vì k đủ trân châu đen nên bạn nhân viên đã đổi cho bọn mình 1 cốc sang trân châu trắng.
Và vấn đề to tát nằm ở trân châu đen : nó quá mềm, bở. Nói chung là mình không thể yêu thương được. Bạn mình uống cốc trân châu trắng và nó lẩm bẩm là trân châu ngon mà. Hay tại mình xui. Nhưng thật may mắn vì trà xanh kiwi ngon, vừa miệng bù đắp lại.
À, còn bác trông xe thân thiện trong khi bọn mình loay hoay đứng tìm khẩu trang thì bác ý chạy từ bên kia đường sang hỏi bọn mình đi về hướng nào giúp bọn mình dắc xe nữa.
Sẽ quay lại nếu có cơ hội và mong là lần tới sẽ được uống thử kem mặn và ăn trân châu ngon 😌😌😌",1,1,1,1,1,1,1
436,"Quán này ở ngay đầu đường Hàn Thuyên đi từ đường Trần Phú vào này, nhìn phong cách decor đã thấy teen teen và nhiều món bắt mắt. Mấy lần đi ăn ở quán chè Hà Nội cũng trên trục đường Hàn Thuyên nên mình chú ý vì tên quán có luôn món Patbingsu. Trời nóng mà được ăn patbingsu thì ngon thôi rồi mà hồi ý ở quanh khu này đây là quán đầu tiên có patbingsu và mấy món Hàn Quốc.
- Không gian: Quán decor theo hơi hướng teen nhưng màu hơi tối nên cảm giác hơi bí mặc dù quán rất rộng và mặt tiền lại thoáng. Được cái bàn ghế cũng sạch sẽ, tinh tươm nên đây là một điểm cộng cho quán.
- Đồ ăn: Mình order bánh kem cuộn, một đĩa bánh gạo Hàn Quốc, một Patbingsu xoài còn bạn mình gọi Patbingsu hương socola. Bingsu xoài ăn khá là ngon nhưng đá xay chưa thực sự mịn và nhuyễn lắm, bánh kem cuộn ăn khá xốp và thơm nhưng phần siro ngọt đậm quá chưa hợp khẩu vị của mình. Bánh gạo ăn hơi ngấy (chắc do mình ăn bingsu và bánh rồi nên bị ngấy). Nhưng nhìn chung chất lượng bingsu như vậy mình thấy khá ổn vì ăn xoài trộn với đá xay rất ngon và mát lịm ý.
- Đồ uống: quán cũng phục vụ đồ uống là các loại sinh tố, nước ép hoa quả, nước ngọt, vv nhưng mình không order nữa vì ăn nhiều no quá.
- Phục vụ: phục vụ rất nhanh và chuyên nghiệp nhé, gọi đồ một lúc là có liền 
- Giá cả: khá ok, không hề đắt nhé patbingsu 40 - 80k tùy loại và độ to nhỏ, bánh kem cuộn như hình mình ăn là gần 50k, bánh gạo đĩa bé 27k, như bát pat xoài của mình là 45k
Mình sẽ quay lại quán khi có dịp.",1,1,1,1,0,1,1
437,"Mình đi trúng đợt quán mới khai trương, đợt lễ 30.04 - 01.05 nên khách khá đông, từ sáng đến tối khách cứ đông nghịt ấy. Quán này có không gian khá rộng rãi, cây cối nhiều nên cũng mát mẻ, decor theo style trẻ trung hiện đại. Mình rất thích góc tường với các cánh cửa nhiều màu, nhìn sinh động vui mắt lắm.

Chất lượng nước thì mình hok có ý kiến do mình uống nước đóng chai ^^ Giá nước ở đây cũng khá mềm, đợt mình đi có discount 20% nhân dịp khai trương nữa nên lại càng hạt dẻ hơn. Nhóm mình đi 6 người hết có trăm mấy à. Nhân viên đông và khá nhanh nhẹn, thái độ vui vẻ.",0,1,1,1,0,1,0
438,"Không gian mở, thoáng đãng, mát mẻ, đẹp nữa.
Bingsu khá ngon, giá khá ổn, trang trí đẹp, bắt mắt.
Đồ uống thì cũng tạm được, nói chung là khá ổn so với mặt bằng chung các quán ở ĐH.",1,1,1,0,0,1,0
439,"Quán rộng rãi, ngay góc đường Ngô Quyền. Không gian rộng rãi, có một phần ngoài trời và một phần trong nhà. 

Nước uống ngon lắm nhé. Phục vụ cũng rất nhanh. Giá vừa phải. Mình sẽ còn ghé lại.",0,1,1,1,0,1,0
440,"Mình ấn tượng nhất với bông lan trứng muối tại đây. Bánh mềm đậm sốt và nhiều ruốc, rất là ngon, giá cũng không quá đắt. Đồ uống ổn giá cả vừa phải, mình cực thích mattcha đá xay loại đặc biệt gì đấy (mình không nhớ rõ tên, nhưng nó khá nổi bật trong menu nên nhìn thấy dễ thôi) uống đậm vị trà xanh nhật bản cực, duyệt nhá. Hẹn hò cafe với bạn rất hợp lí, vừa uống nước nói chuyện và ăn bánh ngọt hơi bị chuẩn. Quán cũng không quá đông khách nên không gian khá riêng tư. Thi thoảng thèm bông lan trứng muối cũng đá qua mua mang về, mình thấy bông lan trứng muối ở đây ngon hơn hẳn huyền ngân ấy.",1,1,1,0,0,1,0
441,"Quán mới nằm ở khúc phía trên Dốc Mơ. Qua chợ chắc tầm 400m. Thường mình thấy ai cũng những quán từ phía trên khúc Dốc Mơ mở đều không được lâu, vì mọi người chủ yếu đều chạy lên Gia Kiệm chơi. Lúc thấy quán này mở ở đây mình hơi ngạc nhiêm chút. Mà quán mở xịn lắm mình mong là quán sẽ trụ được lâu, không như những quán khác. 

Không gian SIÊU XỊN!!! Nhiều khu vực khác nhau lắm nhưng khu nào cũng xịn cả!!! Tới để cảm nhận đi chớ hổng tả nổi! Quán này ai có góc nhìn chụp ảnh lookbook được luôn chứ đùa :)). Nhưng buổi tối đèn vàng từ trên hắt xuống (như tất cả quán khác) sẽ chụp hình khó đẹp lắm, nên nếu chủ yếu đi chụp hình sống ảo thì ráng đi buổi sáng đi!

Nghe bảo có cả nhạc acoustic đồ, không phụ thu luôn mới ghê. Mà nay chủ nhật mà không thấy? Nhưng bù lại nhạc mở hay lắm hehe đúng gu của mị

Phục vụ nhiều và cũng xịn luôn! Cảm thấy hài lòng từ lúc vào đến lúc ra. Love! Gửi xe không chỉ trước quán mà còn nguyên một sân nhà bên cạnh nữa, nên k lo hết chỗ để xe. Các bạn phục vụ dễ thương niềm nở lắm. Đưa menu còn giới thiệu những món ngon đang hot ở quán nữa, rất tuyệt cho những người chả biết ăn gì khi nhìn menu như mìn. Trong mỗi khu vực, luôn luôn có nhân viên đứng trực để khách hàng có thể gọi bất kỳ lúc nào. Đỡ phải ngóng nhân viên như mấy chỗ khác. 

Giá cả: đối với mình là ok phù hợp với chất lượng không gian và phục vụ. 

Last but not least, phần quan trọng nhất, chất lượng món ăn. Vì sức ăn của mình có hạn không thể thử nhiều món, nhưng những món mình ăn đều khá ổn! Trà đào kem sữa, mojito vỏ cam chanh, bò mỹ sốt bbq, và khoai tây chiên. Rất thích món bò mỹ! Còn nước cũng ok, mỗi tội bạn mình bảo ghét caid mùi của lá húng thôi. Còn cái khoai tây chiên là món tệ nhất trong tất cả, nó cứng dã man

Lần sau ghé lại sẽ thử thêm nhưngx món khác xem saoXem thêm",1,1,1,1,1,1,0
442,"Tối hôm qua đưa em trai đi ăn , bình thường cứ sợ tối t7 phải đợi lâu mới có đồ , nhưng càng ngày chất lượng phục vụ phụ ở đây càng chuyên nghiệp và nhanh nhẹn hơn xưa rất nhiều. Không gian quán vừa mới được sửa lại cũng đẹp và rộng rãi hơn. Mình có gọi mỳ ý bò băm và cơm gà nướng mật ong, thêm 1 salad rau trộn, 1 soda deep blue và 1 sinh tố xoài ( quên không chụp lại) . Trừ món salad không được ưng ý cho lắm thì các đồ còn lại ok. Cơm ăn khá ngon, thịt mềm và thơm. Ăn cũng khá no và đồ còn nóng nên dễ ăn hơn. Chất lượng ngày 1 được cải thiện nên quán ngày càng đông khách hơn, và cũng là địa điểm mà nhiều học sinh thích ghé qua.",1,1,0,1,0,1,0
443,"Hôm mình đến là đêm nhạc gì đó có mời các ca sĩ mới về hát, nên khá đông nhưng được cái không gian quán rất rộng nên chỗ ngồi vẫn rất thoải mái. Lúc sau bàn mình có di chuyển lên tầng ngồi thì mình thích không gian trên đấy hơn tuy chật hơn nhưng khá riêng tư. Nhìn chung thiết kế sang trọng và bắt mắt. Còn về đồ uống thì hôm đấy có gọi món món sinh tố cốt dừa thì phải, mình đã hỏi ở đây đồ uống nào ngon thì nhân viên đã giới thiệu món đó. Nhưng hình như pha chế nhầm cho 2 lần đường thì phải, chứ mình không nghĩ có đồ uống nào lại pha ngọt như thế đâu. Hôm đó mình bỏ nguyên lại cả cốc vì quá ngọt. Với lại hôm đó đông nên cũng không khiếu nại luôn. Nên không hài lòng về đồ uống lắm. Mình cũng đến quán vài lần rồi nên nếu có dịp vẫn sẽ quay lại vì đây là 1 trong những quán mình thấy sang nhất trong TP",0,1,0,1,1,1,0
444,"Ra Phú Yên mà tìm đc quán cafe yên tĩnh, không gian xưa xưa vậy là hiếm lắm luôn rồi. Mình đi theo foody nên tìm dc quán :)). Cà phê sữa ở đây ngon, pha phin theo ý mình. Trên tường treo ảnh của ca sĩ ngày xưa nữa. Bữa mình đi trời mưa, mình ngồi đây từ sáng đến trưa á.
Thấy có bán bánh ngọt nên mình cũng ăn thử. Có hạt dưa để cắn cắn vui miệng nữa. Lần ra ra Phú Yên nhất định mình sẽ ghé quán nữa để ủng hộ. Quá thích! Hihi",1,1,0,0,0,1,0
445,"Ấn tượng đầu tiên là quán bày trí đẹp, có guu, đúng như tên quán NGƯỢC. Bàn ghế ngược, tên trên menu cũng ngược. Bạn chủ quán rất nhiệt tình. Đồ uống khá ngon. Đồ uống đa dạng, mình thì thích trà đào cam sả và không gian ở đây. Quán có khu ngồi bệt và ngồi ghế. Có khu ngồi điều hòa và ngồi không gian ngoài trời. Quán được bày trí nhiều giỏ cây xanh, không gian rộng và thoáng mát. Giá khá mềm. Trà đào cam sả 20k/ly. Điểm trừ duy nhất là WC chưa pro như nội thất khác của quán. Nếu về Quảng Trị chắc chắn sẽ ghé lại quán.",0,1,1,1,0,1,1
446,"Quán thiết kế và bày trí đẹp, hiện đại. Quán 2 mặt đường và có view đẹp. Quán khá đông khách, không gian rộng, thoáng, sạch sẽ, ấm cúng. Phù hợp off nhóm hoặc làm việc do quán không quá ồn. Phục hụ chuyên nghiệp, lịch sự và nhiệt tình. Nếu bạn đi ô tô sẽ có người ra mở cửa giùm. Quán có nơi để xe rộng, cho cả xe máy và ô tô. Tối qua đây sẽ đẹp hơn do hiệu ứng đèn. Ấn tượng với quán bởi cầu thang độc đáo. Mỗi bậc là 1 dòng chữ đều rất ý nghĩa. Đồ uống khá ổn. Giá hợp lý khoảng 20k+",0,1,1,1,1,1,1
447,"Quán không gian mở, bày trí đẹp, nhiều cây và hoa rất thích. Có hồ cá. Ngồi buổi tối ngoài trời thích mê ly luôn. Đồ uống ngon, đa dạng. Phục vụ chuyên nghiệp lịch sự.",0,1,0,1,0,1,0
448,"Mùa hè này về quê có ghé lại quán, mình đến buổi tối thấy khách khá đông. Anh giữ xe dễ thương, cứ chạy xe tới dừng ở cổng rồi anh đi xếp xe giùm cũng khoẻ. Ngồi ở đây khá thoáng, quạt chạy vù vù nên mát lắm ^^

Mình gọi bingsu matcha, tô nhỏ nhỏ thôi nhưng có thể ăn từ 2-3 người. Phần sữa bào cực mịn, sốt matcha rưới phía trên thì ngọt ngào mình rất thích, topping gồm bánh ốc quế và bánh xốp chocolate thơm thơm khá ngon, kem vị vani dẻo và cũng ok lắm. Nhưng tổng thể lại thì nhiều thành phần hơi lạc chủ đề bingsu matcha, nếu phần topping thay hoặc thêm loại bánh trà xanh, kem đổi qua vị trà xanh thì sẽ tuyệt hơn!! À bên dưới đáy là 1 lớp đậu đỏ ngọt ngào nhưng mình thấy đậu chưa được mềm lắm.

Bingsu cookies cũng khá ngon với phần topping tràn ngập bánh xốp và bánh quế, ice-cream thì được thay bằng whipped cream mịn ngọt khá ổn.

Ai muốn đổi vị thì có thể chọn bingsu newland với phần topping là các loại trái cây như dưa hấu, xoài, dâu tây, bánh oreo cũng ok lắm nhé!!

Giá cả khá mềm cho 1 phần này, 35-40K/phần thui ^^ Nhân viên thì rất nhanh nhẹn và niềm nở.",1,1,1,1,1,1,0
