id,comment,food,drink,price,staff,service,space,hygiene
235,lâu rồi mới ghé quán này với má má mình thích không_gian ở đây lắm được nằm ngay ngã view ngắm ra nhà_thờ lớn nữa tầng có máy_lạnh còn tầng thoáng mình hay ngồi tầng nay ghé quán uống cafe đen đá ly này là giá_cả giá ở quán cũng được có điều cà_phê không được đậm_đà cho lắm wifi ổn làm_việc cũng ổn quán có mấy bàn ngoài ban_công mình nghĩ tối mát ra đây ngồi là đã luôn nhân_viên dễ_thương toalet sạch_sẽ vậy là ổn_nà,0,1,1,1,1,1,1
392,thích nhất uống cafe sữa ở đây vào buổi sáng nhìn mấy người câu cá cũng vui 🏼,0,1,0,0,0,0,0
375,quán mới mở nha các bạn không_gian thoáng mát giá cũng bình_dân lắm có điểm_tâm sáng nữa cafe lipton giá_cả ly,1,1,1,0,0,1,0
181,lần đầu ghé box nước uống cũng ổn lần sau sẽ thử trà sữa,0,1,0,0,0,0,0
56,thích cái món dâu tươi sữa_chua ở quán lần nào tới cũng uống đúng món đó lần này tới kêu nhân_viên món đó nhưng không hiểu sao cái ly lại toàn sữa đặc với dâu cắt lát không thấy miếng sữa_chua nào hết đã vậy nhân_viên còn không nhiệt_tình kiểu có khách cũng được không có cũng chẳng sao lần trước tới có_nhân_viên dắt xe cho khách lần này tới khách tự để xe nhân_viên ngồi đó chỉ chỏ phải dắt xe sát vô nhau thất_vọng,0,1,0,1,1,0,0
298,quán nằm trong đường yết kiêu xéo xéo với trường năng_khiếu thể_dục thể_thao của tỉnh an_giang không_gian quán rất ấm_cúng được decore rất chăm_chút rất phù_hợp cho các nhóm bạn lại tâm_sự hoặc học nhóm bé nhân_viên rất dễ_thương và ghé quán chừng đôi ba lần thôi_thì đã nhớ khách ở quán có món cam_chanh đá xoay rất đặc_biệt không biết diễn_tả thế_nào nên các bạn cứ thử rồi mới biết được chỉ giá_cả thôi ngoài_ra có rất nhiều sách hay cho các bạn_đọc nữa nhưng nhớ đọc xong thì đặt lại chổ cũ giúp vì quán nhỏ ít nhân_viên tội các bé,0,1,1,1,1,1,0
314,quán khá dễ kiếm không_gian rộng_lớn thoáng mát đây là quán nước dành cho người chơi vape ở cà mau chủ quán hoà_đồng vui_vẻ nhiệt_tình với anh_em chơi vape,0,1,0,1,0,1,0
355,quán mới_toanh nằm trên đường nếu không để_ý sẽ khó thấy quán có không_gian nhỏ nhìn gọn phía ngoài cũng có bàn không_gian khá ấm có nhiều góc chụp ảnh quán chuyên về đồ uống như các loại soda yogurt smothie mình uống yogurt tầng khá ngon và bắt_mắt tầng cuối là soda tầng giữa là yogurt và trên cùng là đá xay cá_nhân mình không thích uống nhiều ngọt nên mình thấy hơi ngọt tuy_nhiên không gắt quán mới nên chưa có nhiều nhân_viên nhưng chị bán cho mình khá dễ_thương nguyên đám đi để tám chuyện phím quán chỉ có nhạc_nhẹ nên vì_thế khá hợp_lí,0,1,0,1,1,1,0
14,đi chơi với đứa bạn có dịp ghé qua quán này mình với nó nghỉ_ngơi tý mình và nó gọi ly cà_phê đá để uống theo mình cảm_nhận thì đồ uống của quán rất là ổn vị cà_phê đăng_đắng vừa phải hà nhưng mùi cà_phê thơm lắm kèm theo tý ngọt ngọt của đường cho vào vừa_phải nên cực_kỳ thích luôn đang buồn_ngủ uống vào cái tỉnh hẵn ra luôn đấy chứ quán cũng thoáng và rộng_rãi lắm luôn nha nhân_viên vui_vẻ và cực_kỳ thân_thiện luôn,0,1,0,1,0,1,0
324,không_gian thoáng thức uống ngon và đa_dạng nhân_viên vui_vẻ giá giá_cả,0,1,0,1,0,1,0
