id,comment,food,drink,price,staff,service,space,hygiene
120,mới phát_hiện ra quán này nằm gần nhà mình nữa chứ view cực thích luôn từ bên trong lẫn bền ngoài đều đc thiết_kế bày_trí tỉ_mỉ ngồi trên tầng nhìn qua bên tường đều được vẽ cảnh đẹp luôn có bàn ghế_ngồi vỉa_hè và bên hông lắp đèn nữa buổi tối cứ gọi_là lung_linh thiết_kế nghiêng vêd thời xưa kiểu năm rứa đó màu chủ_đạo là màu xanh có mấy góc thần_thánh tha_hồ mà so dep đồ uống cũng được đầu_tư chăm_chút ngon_lành và đẹp_mắt giá cá cũng phù_hợp nữa cực cực thích,0,1,1,0,0,1,0
548,vì nằm trên một_chiều nên việc đi_lại khá bất_tiện tuy_nhiên quán có không_gian khá đẹp trang_trí cũng khá độc_đáo nước uống cũng tạm được không có gì đặc_biệt bù lại bánh ở đây lại khá ngon giá_cả so với nơi khác thì hơi cao nhìn_chung cũng ổn view đẹp,1,1,1,0,0,1,0
716,quán có vị_trí đẹp không_gian đẹp chỗ ngồi trong nhà lẫn ngoài_trời trong nhà có mở điều_hoà nhưng đợt này mình đi không thấy mở mình gọi kem sôcôla cacao đá và kem tuyết sữa_tươi kem socola thì ngon giá_cả ly có giá_cả cacao đá thì không ngon cacao nóng rồi bỏ đá cục vô lỏng bỏng không hấp_dẫn nữa kem tuyết lúc trước mình ăn đá đc xay mịn ra rồi bỏ kem lên lần này quán đổ nước gì dưới rồi bỏ đá cục vào đc cái kem ngon nên cũng vớt_vát đc mấy phần không đến mức thất_vọng hoàn_toàn nhân_viên quán khá lịch_sự và dễ_thương,0,1,1,1,1,1,0
614,tới đây lần mà giờ mới viết review lại được nhận_xét chung thấy quán khá ổn không_gian tầng rộng_rãi có bàn ngoài_trời tầng bày trí đẹp cực thích_hợp cho những buổi tối hẹn_hò lãng_mạn quán có cả bánh kem và đồ uống kem ở đây đắt xắt ra miếng ăn ổn cực luôn gấu gọi kem amazon chỉ vì thấy đẹp mình cũng không nghĩ nó sẽ ngon nhưng rất bất_ngờ khi kem nước uống kết_hợp với kem dừa lại tạo ra hương_vị ăn rất lạ và ngon_miệng kem thơm kết_cấu xốp và mềm mịn có cả dừa non ăn khá vui_miệng nữa một món khác khá ưng ở đây là moktail swet love kết_hợp giữa chuối sữa_chua và xoài thì phải uống hay lắm mọi người nên thử tuy_nhiên trà gạo lứt ở đây thì cá_nhân mình thấy không ổn lắm any way chắc_chắn sẽ quay lại vì quán view đẹp nhiều món ngon nhân_viên phục_vụ cũng rất nhiệt_tình lần tới sẽ review cho fody về bánh và số đồ uống khác ở đây nữa dxem thêm,1,1,1,1,0,1,0
437,mình đi trúng đợt quán mới khai_trương đợt lễ nên khách khá đông từ sáng đến tối khách cứ đông_nghịt ấy quán này có không_gian khá rộng_rãi cây_cối nhiều nên cũng mát_mẻ trang_trí theo style trẻ_trung hiện_đại mình rất thích góc tường với các cánh cửa nhiều màu nhìn sinh_động vui_mắt lắm chất_lượng nước thì mình hok có ý_kiến do mình uống nước đóng_chai giá nước ở đây cũng khá mềm đợt mình đi có discount nhân_dịp khai_trương nữa nên lại càng hạt_dẻ hơn nhóm mình đi người hết có trăm mấy à nhân_viên đông và khá nhanh_nhẹn thái_độ vui_vẻ,0,1,1,1,0,1,0
1160,mình rất hài_lòng về món nước ở đây mình đến đà_nẵng công_tác trong tuần làm_việc ở đối_diện quán luôn được giới_thiệu từ người quen là ở đây ngon nên uống thử lần này mình chọn yaghourt đá xay tên là just love gồm có việt quất dâu_tây và thạch giá giá_cả pha_chế rất hợp_ý mình mình rất thích vị chua_ngọt đều dễ_chịu không gắt có lát dâu_tây mỏng ăn ngon thạch cũng rất ngon sẽ còn ghé quán nữa tuy là mình mua mang đi nhưng cũng ngó qua không_gian quán nhìn thì không thấy rộng lắm nhưng nếu ngồi cũng sẽ thấy thoải_mái trang_trí cũng ổn,0,1,1,0,0,1,0
1069,menu giá_cả nhiều món lắm chất_lượng cafe ngon đó phục_vụ nhân_viên đông phục_vụ và ra nước rất nhanh nha xem thêm,0,1,1,1,0,0,0
81,vị_trí trung_tâm lagi không_gian thoáng rộng trang_trí ánh_sáng là chủ_yếu chất luợng đồ uống cũng ngon giá_cả mềm lâu rồi mới thấy cái menu với con_số như_vậy ở quán cafe có không_gian như_vậy hầu_như là duới giá_cả cho điểm phục_vụ hơi lâu,0,0,1,1,0,1,0
609,bánh ngon sáng nay vừa mua bánh_mì ở đây xong bánh ngon lắm nhân_viên cũng rất nhiệt_tình vị_trí thuận_tiện dễ nhìn tương_ớt cay vừa_phải thịt nướng thơm va không quá nhiều mỡ cũng không quá ngấy chỉ có nước sâm thì không đc ngọt lắm,1,1,0,1,0,0,0
615,bánh_mì thịt nướng bánh siêu ngon siêu to mình thế_là nó cũng phải ngon gần bằng bami king đó mình gọi vị thịt nướng nhìn bên trong khá là giống thịt nướng để ăn bún_chả tuy_nhiên gia_vị thì ngon hơn nhiều mình thấy có sả nên ăn thơm thơm à còn có cả củ_cải muối như kiểu bên hàn_quốc nữa vị cũng chua chua_ngọt ngọt như thế thích nhất_là cái thịt ăn kiểu thật miếng sướng miệng rất hiếm có cái bánh nào mà mình ăn tận miếng cuối_cùng mà vẫn thấy ngon như bánh này hay là do mình ăn vị thịt nướng nên ngon_vậy nhỉ ui đến giờ vẫn thấy thích nè,1,0,0,0,0,0,0
908,nghe lâu rồi nhưng giờ mới có dịp đến ăn thử phải nói đồ ăn_ở đây ngon tuyệt hợp_khẩu_vị với mình vô_cùng từ kimpap dak gal bi đến những món ăn kèm như kim chi củ_cải trắng đều tuyệt_vời phần combo dak gal bi giành cho người mà tụi mình đi người ăn còn thừa nhưng phải nói là ngon tuyệt nhân_viên nhanh_nhẹn nhiệt_tình cả qủan lý cũng vui_vẻ thân_thiện tạo sự thiện_cảm khi đến quán quán view đẹp thoáng mát có điều_hoà ở mỗi bàn có chuông nhỏ chỉ cần nhấn chuông là nhân_viên sẽ đến nói_chung sẽ ủng_hộ dài_dài,1,0,0,1,1,1,0
1070,quán đẹp đồ ăn ngon giá ổn mình đi ng gọi set ng ăn nhưng vẫn no cành bụng lần sau sẽ lại gé quán tiếp,1,1,1,0,0,1,0
