id,comment,food,drink,price,staff,service,space,hygiene
245,cả nhà mình đi ăn_ở đây thấy khá hấp_dẫn món ăn_giá vừa_phải không_gian siêu đẹp theo đủ phong_cách có đủ ẩm_thực các nước mì việt tiềm là món mình thích nhất,1,0,1,0,0,1,0
663,quán ở vị_trí cách đường võ_thị sáu khoảng m khá thuận_lợi cho các bạn muốn tìm một không_gian yên_tĩnh thưởng_thức nước uống cũng như tận_hưởng không_gian quán rất độc_đáo và dễ_thương vườn và nhà_máy_lạnh sân_thượng các cặp đôi nên đi tận_hưởng không_gian lắng_đọng lãng_mạn bạn_bè cũng nên đi vì là nơi yên_tĩnh để trò_chuyện hay học nhóm ten thì càng nên đi để lưu lại tuổi_trẻ của mình trong những shot hình siêu dễ_thương với nền là không_gian trong quán p_s nhân_viên siêu thân_thiện và dễ_thương nói_chuyện nhí_nhảnh đáng yêu,0,1,0,1,1,1,0
11,done,0,0,0,0,0,0,0
349,the king uống gì cũng ngon cả nhân_viên phục_vụ dễ_thương nữa và nhiệt_tình vui_tươi lich sự tuy_nhiên nhiều lúc nước uống phải đợi lâu không_gian thoáng mát trang_trí rất đẹp và sang_trọng rất lộng_lẫy nhất là vào vào buổi tối nếu lần sau quán có ca_nhạc thì mời ca_sĩ lâm chấn khang thì trên cả tuyệt_vời luôn ủng_hộ quán mãi là khách quen khách ruột của quán,0,1,0,1,0,1,0
340,vô_tình có việc ghé quan cafe để chờ_đợi quán tương_đối dễ tìm dưới dốc cầu view cực đẹp và mát luôn có dòng sông trang_trí cực thik thik hợp cho các bạn nào thik tự_nhiên sông quê,0,0,0,0,0,1,0
669,đặt delivery phần xô dù bik ràng sẽ o thể có xô vì giao tận nơi chứ o phải ngồi tại chổ nhưng đáng thất_vọng nhất là cáu ly đá đổi vị đá đổi vị như mò_kim đáy bể chae thấy cái nào trong đó hai cái ly nhìn như mua trà giá_cả ngoài đường chả bao_giờ mua chổ này nửa bỏ gần giá_cả môt ly thà uống xic y royaltea còn hơn giá thấp hơn mà chất_lượng hơn dù là hình_thức hay bên trong,0,1,1,0,1,0,0
252,quán rộng_rãi mát_mẻ nhân_viên phục_vụ nhanh_nhẹn nhiệt_tình bánh bánh ở đây giá_cả phần trang_trí bắt_mắt còn mùi_vị khá món khó tìm nhất mà cũng nhanh hết nhất chắc có_lẽ là chén tàu hủ này mình không thích gừng nên dặn quán không để tàu hủ do quán tự làm chén chỉ giá_cả ngon giá_cả nên nếu bạn mún thử thì hãy hỏi trước khi vào quán xem còn không nhé mưa lất_phất gió lành_lạnh mà_ăn chén tàu hủ nóng_hổi thì còn gì bằng,1,0,1,1,0,1,0
682,mình là khách quen của quán đồ uống ngon band vui ve_hoà_đồng mọi thứ rất tuyệt_vời chỉ tiếc là đêm nhạc kết_thúc khá sớm thường là h,0,1,0,0,1,0,0
729,quán được không_gian nhưng các món uống không đa_dạng nhân_viên ra_vẻ thờ_ơ và không tiếp khách chu_đáo khi khách hỏi nhân_viên trả_lời qua_loa và nhiều khi không trả_lời giá đồ uống cao và giá_cả mà_lại không ngon,0,1,1,1,0,1,0
591,bánh_mì great ☘ ️ lâu lắm r anh người iu mới mua cho tôi cái bánh_mì ở quán này ạ cũng không thích lắm đâu nhưng mà dỗi nên cũng nhận luôn ☘ ️ hắn ta mua cho tôi bánh_mì thịt nướng thì phải công_nhận là bánh_mì nhiều thit dã_man luôn nhưng tẩm ướp cũng không qá đặc_sắc nghĩa_là lm mình cảm_thấy qá thèm và muốn ăn lại ấy dc cái là bao_bì cũng cẩn_thận nhìn lịch_sự cực_kì luôn nên cũng thích,1,0,0,0,0,0,0
1,trà sữa koi phải nói là quá ngon xuất_sắc lun rồi hôm_nay mình đặt_hàng qua giao hàng vì đang có chương_trình khuyến_mãi thanh_toán bằng thẻ airpay sẽ miễn phí phí vận_chuyển_vậy là nhanh tay đặt_hàng ly nước uống machiato m giá_cả trà sữa trân_châu hoàng_kim m giá_cả peach machiato m giá_cả tc ly là giá_cả nhé giao hàng nhanh nè là có ly giao tại nhà lun chắc do nhà mình gần quá phải nói là ly nào cũng ngon hết thích nhất lớp kem của ly machiato với trân_châu của ly trà sữa ghê giá_cả tương_đối_xứng_đáng với chất_lượng,0,1,1,0,1,0,0
247,có dịp về mỹ tho chơi trưa nắng ăn xong được dẫn đến đây uống nước nghỉ trưa luôn điều đầu_tiên phải nói về không_gian phải gọi là best of best trong các quán nước mình từng đi luôn không_gian cực_kỳ rộng trang_trí rất cầu kỳ và đầu_tư chi thành nhiều khu theo nhiều chủ_đề khác nhau cứ tưởng vào nhầm công_viên giải_trí nào cơ quán có tầng trệt và lầu bên trong cũng trang_trí khác nữa rộng_rãi thoải_mái đồ uống cũng tạm được trưa nằm nghỉ ở đây thích lắm tối tới chắc đẹp hơn nữa ai có dịp ghé mỹ tho nhất_định phải đến đây chụp hình sống ảo là nhất,0,1,0,0,0,1,0
567,đồ ăn quán rất ổn hợp ví tiền anh_chị chủ nhiệt_tình hiền đây là địa_điểm mình thường tụ_tập với bạn_bè cực_kì thích nhạc ở đây không_gian nhỏ nhưng ấm_cúng có phiếu giảm_giá nữa các bạn ghé sẽ không phải hối_hận đâu chúc quán bán đắt khách,1,0,1,1,1,1,0
8,nhà mình được được tặng hộp bánh trung_thu này cái hộp hoành tráng_lệ lắm luôn bên ngoài là giỏ xách giấy tiếp_theo là hộp giấy mở hộp giấy ra là hộp xốp trắng giữ nhiệt sau đó là hộp thiếc chắc_chắn có in chữ_nổi rồi cuối_cùng là em bánh nhỏ xinh với vị trái_cây trong hộp thiếc thì có đá gel giúp giữ lạnh mình chưa ăn thử nhưng nhìn cách đóng_gói cầu_kì và tỉ_mỉ thì đã thấy ngon rồi mình nghĩ trung_thu biếu hay tặng bánh này là khỏi chê,1,0,0,0,0,0,0
542,đẹp và ấm_cúng quán ở ngay khúc đầu đường nguyễn_văn_trỗi từ chợ đi bộ lên một_chút là tìm được quán be_bé xinh_xinh không_gian hơi sâu bài_trí xinh yêu rất đẹp và ấm_cúng phục_vụ đồ uống và bánh ngọt giá cũng không giá_cả nhưng không quá đắt bù lại mọi thứ đều được phục_vụ một_cách rất tỉ_mỉ cẩn_trọng và chu_đáo khiến mình cảm_thấy vô_cùng dễ_chịu khi ở đây đồ uống ổn không có vấn_đề gì cả phục_vụ xinh_xắn dễ_thương nhỏ_nhẹ anh pha_chế hình_như là anh chủ luôn cao_ráo đệp trai và có cảm_giác rất cầu_toàn rất thích quán này nếu có dịp sẽ lại ghé,1,1,1,1,0,1,0
555,không_gian đẹp quán khá nhỏ và nằm trên đường nguyễn_văn trỗi đường một chiều vị_trí quán lại khuất nên mình đã đi lố phải quay đúng một vòng để quay lại chỗ để xe hẹp không_gian quán đẹp trang_trí nhẹ_nhàng màu_sắc_đẹp nhân_viên thân_thiện nhưng khá chậm có_lẽ do mình đến vào đầu giờ sáng bánh vị không ngon như mong_đợi thức uống không quá đặc_biệt tầm giá hợp_lý,1,1,1,1,1,1,0
188,quán nằm trong một con hẻm nhỏ quán có không_gian sân vườn tương_đối thoáng mát nhưng thật đi thì không có gì ăn tượng lắm bàn ghế cũng hơi cũ nhân_viên ở đây cứ như người bị ngơ_vậy và gọi món này thì đem trả món khác mình gọi cafe sạch uống thì không đem ra cho mình nói là đắng lắm mình không uống được đâu vớ vẫn quá nước thì cũng không có nhiều chỉ toàn mấy món cơ_bản mà pha_chế cũng không ngon nữa chớ nói_chung mình không thích giá không quá cao nhưng nếu đem ra so với chất_lượng đó uống thì không_thể chấp_nhận ở đây có phục_vụ cả đồ ăn sáng nhưng mình cũng chưa thu và không có kì_vọng giờ nhiều,1,1,1,1,0,1,0
708,mình ghé quán cũng khá lâu quán có không_gian nhỏ nhưng trang_trí dễ_thương không chật_chội lắm có ghế_ngồi và cả ngồi_bệt quán nằm trên đường lớn đông người qua_lại gần trung_tâm giá_cả so với các chỗ khác thì tương_đối phục_vụ nhiệt_tình đồ uống cũng tạm cần đầu_tư thêm quán có bánh nhưng chưa được thử,1,1,1,1,0,1,0
